iter	MAE
0	2164360.328
1	2057272.908
2	1951272.286
3	1851810.724
4	1787065.782
5	1721941.02
6	1672558.168
7	1638371.856
8	1583493.657
9	1544802.13
10	1497770.742
11	1456062.128
12	1422047.988
13	1396748.16
14	1371417.531
15	1350198.337
16	1327889.526
17	1313334.309
18	1301248.904
19	1292409.151
20	1283127.496
21	1267821.503
22	1256082.238
23	1249198.821
24	1237058.609
25	1226228.56
26	1218255.761
27	1212902.31
28	1201612.583
29	1192640.798
30	1186344.192
31	1179320.762
32	1172768.636
33	1167987.721
34	1159349.603
35	1155079.648
36	1150612.601
37	1145440.388
38	1141900.778
39	1138235.661
40	1131767.434
41	1126505.364
42	1122084.079
43	1117654.708
44	1115487.711
45	1112901.563
46	1109950.867
47	1107498.611
48	1104536.662
49	1102395.487
50	1096600.132
51	1094692.969
52	1091739.352
53	1088773.552
54	1086018.506
55	1084833.243
56	1082294.623
57	1081100.64
58	1079462.255
59	1076559.943
60	1076053.646
61	1073780.128
62	1070524.367
63	1067662.705
64	1065344.991
65	1061260.059
66	1060088.395
67	1058426.131
68	1056057.097
69	1055414.872
70	1055258.303
71	1051637.772
72	1046730.411
73	1043527.984
74	1041779.218
75	1037189.508
76	1033671.937
77	1032757.865
78	1031865.528
79	1030019.275
80	1028562.361
81	1024436.245
82	1022014.489
83	1020396.53
84	1019672.122
85	1017662.45
86	1016824.513
87	1015297.474
88	1013496.399
89	1012075.728
90	1009865.037
91	1006822.603
92	1004440.809
93	1002016.705
94	1000338.328
95	997624.4509
96	996535.3426
97	995711.7276
98	994924.2236
99	993231.4446
100	990829.8011
101	989064.5908
102	987037.9864
103	985221.8997
104	981596.6371
105	979879.6709
106	978113.2324
107	976207.0331
108	973327.0237
109	971125.5112
110	969044.6914
111	967015.6156
112	964894.0968
113	963653.937
114	962064.8325
115	959079.1075
116	955842.8157
117	954298.1963
118	953111.5607
119	951789.6596
120	950431.3891
121	947951.9166
122	945565.0162
123	944733.3273
124	943651.3853
125	942521.217
126	942333.005
127	940180.5336
128	938736.0149
129	936459.9087
130	934310.1322
131	929836.678
132	927757.6142
133	926047.1777
134	924678.3943
135	923719.9505
136	922699.3841
137	921737.2693
138	920917.5203
139	919974.2108
140	918671.7923
141	917212.3881
142	916845.4039
143	915909.367
144	915144.3943
145	914424.2972
146	913576.209
147	912275.5403
148	908685.0727
149	907821.4102
150	906419.949
151	904660.1592
152	901652.6292
153	901000.1642
154	899251.7002
155	897706.3494
156	896111.481
157	892675.2757
158	891956.0396
159	889483.8501
160	888138.5809
161	887077.8954
162	886358.3265
163	884512.3829
164	883135.8669
165	882087.3319
166	881405.5018
167	880892.2951
168	878593.5353
169	877238.6083
170	875982.6237
171	875199.2305
172	873981.6403
173	872769.7572
174	871893.247
175	871275.2716
176	868986.5119
177	868092.8978
178	867096.9053
179	866591.0438
180	866037.1255
181	864931.899
182	863492.8352
183	862826.6682
184	861847.3273
185	860688.8187
186	858027.1545
187	856805.9109
188	856078.976
189	855603.7237
190	855017.6865
191	852706.2937
192	851956.6158
193	850494.1467
194	849504.1077
195	847840.7629
196	846287.8282
197	845407.9333
198	845058.884
199	843886.9329
200	843531.862
201	843001.4019
202	841751.2273
203	841123.1005
204	840102.0671
205	838604.6369
206	837538.4639
207	836408.7764
208	835507.3905
209	834799.8803
210	834284.4883
211	832912.2681
212	830821.8627
