iter	Passed	Remaining
0	27	27155
1	55	27476
2	80	26772
3	111	27817
4	137	27370
5	163	27122
6	190	27027
7	207	25673
8	232	25564
9	260	25769
10	288	25968
11	322	26530
12	347	26366
13	374	26402
14	402	26426
15	428	26380
16	455	26317
17	482	26302
18	509	26283
19	537	26327
20	565	26363
21	592	26356
22	620	26348
23	648	26392
24	669	26117
25	697	26111
26	714	25738
27	730	25359
28	758	25397
29	786	25439
30	816	25507
31	845	25582
32	873	25588
33	919	26115
34	947	26133
35	975	26120
36	1039	27065
37	1073	27175
38	1113	27438
39	1150	27602
40	1178	27554
41	1206	27510
42	1233	27458
43	1262	27422
44	1279	27146
45	1304	27051
46	1333	27044
47	1361	26997
48	1391	27009
49	1416	26904
50	1443	26864
51	1471	26817
52	1498	26771
53	1525	26720
54	1552	26682
55	1581	26652
56	1609	26634
57	1651	26824
58	1679	26787
59	1708	26758
60	1718	26457
61	1746	26425
62	1777	26442
63	1806	26416
64	1837	26432
65	1865	26398
66	1892	26352
67	1920	26327
68	1948	26289
69	1976	26260
70	2002	26207
71	2034	26216
72	2063	26204
73	2095	26225
74	2125	26218
75	2172	26417
76	2203	26407
77	2231	26383
78	2260	26349
79	2287	26308
80	2317	26296
81	2347	26275
82	2374	26236
83	2402	26203
84	2434	26201
85	2462	26170
86	2496	26198
87	2524	26164
88	2552	26125
89	2580	26090
90	2605	26025
91	2633	25987
92	2668	26027
93	2695	25977
94	2722	25931
95	2749	25893
96	2778	25869
97	2804	25817
98	2832	25782
99	2859	25737
100	2903	25840
101	2934	25832
102	2962	25802
103	2991	25771
104	3021	25758
105	3050	25726
106	3078	25691
107	3105	25646
108	3135	25633
109	3163	25596
110	3188	25540
111	3215	25498
112	3245	25479
113	3274	25448
114	3303	25421
115	3330	25378
116	3355	25327
117	3382	25281
118	3409	25244
119	3437	25210
120	3468	25199
121	3498	25176
122	3525	25135
123	3550	25083
124	3574	25024
125	3599	24967
126	3627	24933
127	3653	24890
128	3680	24850
129	3707	24813
130	3734	24776
131	3760	24730
132	3788	24695
133	3813	24647
134	3840	24606
135	3867	24567
136	3893	24527
137	3921	24497
138	3949	24465
139	3977	24433
140	4005	24399
141	4033	24371
142	4061	24340
143	4087	24296
144	4114	24263
145	4142	24229
146	4170	24199
147	4196	24160
148	4224	24125
149	4250	24085
150	4276	24044
151	4303	24007
152	4329	23966
153	4356	23929
154	4383	23895
155	4411	23865
156	4437	23827
157	4465	23796
158	4491	23758
159	4519	23727
160	4546	23693
161	4572	23652
162	4598	23614
163	4625	23576
164	4652	23542
165	4678	23506
166	4705	23472
167	4732	23435
168	4759	23403
169	4785	23364
170	4812	23330
